,y_test,y_pred
1745,Same Day,Second Class
1746,Standard Class,Standard Class
1747,Standard Class,Standard Class
1748,Second Class,Second Class
1749,Standard Class,Standard Class
1750,Second Class,Second Class
1751,Standard Class,Standard Class
1752,Standard Class,Standard Class
1753,Standard Class,Standard Class
1754,Same Day,Second Class
1755,Standard Class,Standard Class
1756,Standard Class,Standard Class
1757,Standard Class,Standard Class
1758,Standard Class,Standard Class
1759,Standard Class,Standard Class
1760,Standard Class,Standard Class
1761,Same Day,Standard Class
1762,Standard Class,Standard Class
1763,Standard Class,Standard Class
1764,Standard Class,Standard Class
1765,Standard Class,Standard Class
1766,Standard Class,Standard Class
1767,Standard Class,Standard Class
1768,Second Class,Standard Class
1769,Standard Class,Standard Class
1770,Standard Class,Standard Class
1771,Standard Class,Standard Class
1772,Standard Class,Standard Class
1773,Standard Class,Standard Class
1774,Second Class,Second Class
1775,First Class,First Class
1776,First Class,First Class
1777,Standard Class,Standard Class
1778,Second Class,Second Class
1779,Standard Class,Standard Class
1780,Standard Class,Standard Class
1781,Standard Class,Standard Class
1782,Standard Class,Standard Class
1783,Second Class,Second Class
1784,Standard Class,Standard Class
1785,Same Day,Standard Class
1786,Standard Class,Standard Class
1787,Standard Class,Standard Class
1788,Second Class,Second Class
1789,Second Class,First Class
1790,Standard Class,Standard Class
1791,Standard Class,Standard Class
1792,Standard Class,Standard Class
1793,Second Class,Second Class
1794,Same Day,Same Day
1795,Standard Class,Standard Class
1796,Standard Class,Standard Class
1797,First Class,First Class
1798,Standard Class,Standard Class
1799,Standard Class,Standard Class
1800,Second Class,Standard Class
1801,Same Day,First Class
1802,Standard Class,Standard Class
1803,Second Class,Standard Class
1804,Second Class,Second Class
1805,Standard Class,Same Day
1806,Second Class,Second Class
1807,Second Class,Second Class
1808,First Class,Standard Class
1809,Standard Class,Standard Class
1810,Standard Class,Standard Class
1811,First Class,Standard Class
1812,Standard Class,Standard Class
1813,Second Class,Second Class
1814,Standard Class,Standard Class
1815,First Class,First Class
1816,First Class,Same Day
1817,Standard Class,Standard Class
1818,Standard Class,Standard Class
1819,First Class,Second Class
1820,Standard Class,Standard Class
1821,Standard Class,Standard Class
1822,Second Class,Second Class
1823,Standard Class,Standard Class
1824,Second Class,Second Class
1825,Standard Class,Standard Class
1826,Second Class,First Class
1827,Standard Class,Standard Class
1828,Second Class,Standard Class
1829,Second Class,Standard Class
1830,First Class,Standard Class
1831,Second Class,Standard Class
1832,Standard Class,Standard Class
1833,First Class,First Class
1834,Second Class,Standard Class
1835,Standard Class,Standard Class
1836,Standard Class,Standard Class
1837,Second Class,First Class
1838,Standard Class,Standard Class
1839,Standard Class,Standard Class
1840,Standard Class,Standard Class
1841,Second Class,Standard Class
1842,Standard Class,Standard Class
1843,Standard Class,Standard Class
1844,Second Class,Standard Class
1845,Second Class,Standard Class
1846,Second Class,First Class
1847,Second Class,Second Class
1848,Standard Class,Standard Class
1849,Standard Class,Standard Class
1850,First Class,Second Class
1851,First Class,Standard Class
1852,First Class,Second Class
1853,Standard Class,Standard Class
1854,First Class,First Class
1855,First Class,Standard Class
1856,First Class,Standard Class
1857,Second Class,Second Class
1858,Standard Class,Standard Class
1859,Standard Class,Standard Class
1860,Standard Class,Standard Class
1861,Second Class,Second Class
1862,Standard Class,Standard Class
1863,Same Day,Same Day
1864,Same Day,First Class
1865,Same Day,Standard Class
1866,Second Class,Second Class
1867,First Class,First Class
1868,Standard Class,First Class
1869,Standard Class,Standard Class
1870,Standard Class,Standard Class
1871,Standard Class,Standard Class
1872,Standard Class,Standard Class
1873,First Class,First Class
1874,Standard Class,Standard Class
1875,Standard Class,Standard Class
1876,Second Class,Standard Class
1877,Second Class,Standard Class
1878,Standard Class,Standard Class
1879,Standard Class,Standard Class
1880,Second Class,Standard Class
1881,Standard Class,Standard Class
1882,Standard Class,Standard Class
1883,Standard Class,Standard Class
1884,First Class,Second Class
1885,First Class,Standard Class
1886,Second Class,Second Class
1887,Standard Class,Standard Class
1888,Standard Class,Standard Class
1889,Standard Class,Standard Class
1890,Standard Class,Standard Class
1891,Standard Class,Standard Class
1892,First Class,First Class
1893,Standard Class,Standard Class
1894,Standard Class,Standard Class
1895,Standard Class,Standard Class
1896,Second Class,Second Class
1897,Second Class,Standard Class
1898,Standard Class,Standard Class
1899,Second Class,Second Class
1900,Same Day,Standard Class
1901,First Class,Standard Class
1902,Standard Class,Standard Class
1903,Standard Class,Standard Class
1904,Standard Class,Standard Class
1905,Standard Class,Standard Class
1906,Second Class,Same Day
1907,Second Class,Standard Class
1908,Same Day,Standard Class
1909,First Class,Second Class
1910,Standard Class,Standard Class
1911,Standard Class,Standard Class
1912,Standard Class,Standard Class
1913,Standard Class,Standard Class
1914,First Class,First Class
1915,Same Day,Standard Class
1916,Same Day,First Class
1917,Standard Class,Standard Class
1918,Second Class,Standard Class
1919,Standard Class,Standard Class
1920,First Class,First Class
1921,Standard Class,Standard Class
1922,Second Class,Second Class
1923,Second Class,Standard Class
1924,Second Class,Standard Class
1925,Standard Class,Standard Class
1926,Standard Class,Standard Class
1927,Standard Class,Standard Class
1928,Standard Class,Standard Class
1929,Standard Class,Standard Class
1930,First Class,First Class
1931,Standard Class,Standard Class
1932,Standard Class,Standard Class
1933,Standard Class,Standard Class
1934,Standard Class,Standard Class
1935,Second Class,Second Class
1936,Standard Class,Standard Class
1937,Standard Class,Standard Class
1938,Same Day,Standard Class
1939,First Class,First Class
1940,First Class,Second Class
1941,Standard Class,Standard Class
1942,Standard Class,Standard Class
1943,Standard Class,Standard Class
1944,Standard Class,Standard Class
1945,Standard Class,First Class
1946,Same Day,Standard Class
1947,First Class,Standard Class
1948,Standard Class,Standard Class
1949,Standard Class,Standard Class
1950,Standard Class,Standard Class
1951,Standard Class,Standard Class
1952,Standard Class,Standard Class
1953,Second Class,Standard Class
1954,Standard Class,Standard Class
1955,Standard Class,Standard Class
1956,Standard Class,Standard Class
1957,Standard Class,Standard Class
1958,First Class,Standard Class
1959,Second Class,Second Class
1960,Standard Class,Standard Class
1961,Standard Class,Standard Class
1962,Standard Class,Standard Class
1963,Standard Class,Standard Class
1964,Second Class,Standard Class
1965,Standard Class,Standard Class
1966,Standard Class,Standard Class
1967,Standard Class,Standard Class
1968,First Class,Standard Class
1969,Standard Class,Standard Class
1970,Standard Class,Standard Class
1971,Standard Class,Standard Class
1972,Standard Class,Standard Class
1973,First Class,First Class
1974,Standard Class,Standard Class
1975,Second Class,Second Class
1976,Standard Class,Standard Class
1977,Standard Class,Standard Class
1978,Standard Class,Standard Class
1979,Standard Class,Standard Class
1980,Standard Class,Standard Class
1981,Second Class,Standard Class
1982,Standard Class,Standard Class
1983,Standard Class,Standard Class
1984,First Class,Standard Class
1985,Second Class,Second Class
1986,Standard Class,Standard Class
1987,Standard Class,Standard Class
1988,Second Class,Standard Class
1989,Standard Class,Standard Class
1990,First Class,First Class
1991,Standard Class,Standard Class
1992,Standard Class,Standard Class
1993,Standard Class,Standard Class
1994,Standard Class,Standard Class
1995,Standard Class,Standard Class
1996,Second Class,Standard Class
1997,Standard Class,Standard Class
1998,Second Class,Standard Class
1999,Second Class,Second Class
2000,Standard Class,Standard Class
2001,Standard Class,Standard Class
2002,Standard Class,Standard Class
2003,Same Day,Standard Class
2004,Second Class,Second Class
2005,Standard Class,Standard Class
2006,Standard Class,Standard Class
2007,First Class,First Class
2008,Same Day,Standard Class
2009,Standard Class,Standard Class
2010,Standard Class,Standard Class
2011,Standard Class,Standard Class
2012,Second Class,Standard Class
2013,First Class,Standard Class
2014,Standard Class,Standard Class
2015,Standard Class,Standard Class
2016,Standard Class,Standard Class
2017,Standard Class,Standard Class
2018,Second Class,Second Class
2019,Second Class,Second Class
2020,Standard Class,Standard Class
2021,Standard Class,Standard Class
2022,Standard Class,Standard Class
2023,Standard Class,Standard Class
2024,Standard Class,Standard Class
2025,Second Class,Second Class
2026,Same Day,First Class
2027,Second Class,Second Class
2028,Standard Class,Standard Class
2029,Second Class,Standard Class
2030,Standard Class,Standard Class
2031,Second Class,Standard Class
2032,Second Class,Standard Class
2033,Second Class,Standard Class
2034,Second Class,Standard Class
2035,Second Class,Same Day
2036,Standard Class,Standard Class
2037,Second Class,Second Class
2038,Standard Class,Standard Class
2039,Standard Class,Standard Class
2040,First Class,First Class
2041,Second Class,Standard Class
2042,First Class,First Class
2043,Second Class,Second Class
2044,First Class,Second Class
2045,Standard Class,Standard Class
2046,Standard Class,Second Class
2047,Standard Class,Standard Class
2048,Standard Class,Standard Class
2049,First Class,First Class
2050,Second Class,Standard Class
2051,Second Class,Standard Class
2052,First Class,Standard Class
2053,Same Day,Same Day
2054,Standard Class,Standard Class
2055,First Class,First Class
2056,Second Class,Second Class
2057,Standard Class,Standard Class
2058,Same Day,Standard Class
2059,Standard Class,Standard Class
2060,Standard Class,Standard Class
2061,Standard Class,Standard Class
2062,Standard Class,Standard Class
2063,First Class,Standard Class
2064,Standard Class,Standard Class
2065,First Class,First Class
2066,Second Class,First Class
2067,Second Class,Standard Class
2068,First Class,First Class
2069,Second Class,Second Class
2070,Standard Class,Second Class
2071,First Class,Standard Class
2072,First Class,First Class
2073,First Class,Standard Class
2074,Second Class,Standard Class
2075,First Class,First Class
2076,Same Day,Second Class
2077,Standard Class,Standard Class
2078,Second Class,Standard Class
2079,Standard Class,First Class
2080,Standard Class,Standard Class
2081,Same Day,Standard Class
2082,Standard Class,Standard Class
2083,Second Class,Second Class
2084,First Class,Standard Class
2085,Standard Class,Standard Class
2086,Second Class,Standard Class
2087,First Class,First Class
2088,Standard Class,Standard Class
2089,Standard Class,Standard Class
2090,Standard Class,Standard Class
2091,Standard Class,Standard Class
2092,Standard Class,Standard Class
2093,Standard Class,Standard Class
2094,Second Class,Standard Class
2095,Standard Class,Standard Class
2096,Standard Class,Standard Class
2097,First Class,First Class
2098,First Class,First Class
2099,Second Class,Same Day
2100,Second Class,Standard Class
2101,Standard Class,Standard Class
2102,Second Class,Standard Class
2103,Standard Class,Standard Class
2104,Same Day,Standard Class
2105,Standard Class,Standard Class
2106,Standard Class,First Class
2107,Standard Class,Standard Class
2108,First Class,Second Class
2109,Standard Class,Standard Class
2110,Standard Class,Standard Class
2111,Standard Class,Second Class
2112,Standard Class,Standard Class
2113,Standard Class,Standard Class
2114,Standard Class,Standard Class
2115,Standard Class,Standard Class
2116,Standard Class,Standard Class
2117,Same Day,Second Class
2118,Second Class,Standard Class
2119,Standard Class,Standard Class
2120,Standard Class,Standard Class
2121,Standard Class,First Class
2122,Standard Class,Standard Class
2123,First Class,First Class
2124,Standard Class,Standard Class
2125,First Class,First Class
2126,Standard Class,Standard Class
2127,Standard Class,Standard Class
2128,Standard Class,Standard Class
2129,Standard Class,Standard Class
2130,First Class,First Class
2131,Standard Class,Standard Class
2132,Second Class,Standard Class
2133,Standard Class,Standard Class
2134,First Class,Standard Class
2135,Same Day,First Class
2136,Standard Class,Standard Class
2137,Standard Class,Standard Class
2138,First Class,First Class
2139,Standard Class,Standard Class
2140,Standard Class,Standard Class
2141,Standard Class,Standard Class
2142,Standard Class,Standard Class
2143,Second Class,Second Class
2144,Second Class,Standard Class
2145,Standard Class,Standard Class
2146,First Class,Second Class
2147,Standard Class,Standard Class
2148,Standard Class,Standard Class
2149,Standard Class,First Class
2150,Standard Class,Standard Class
2151,Standard Class,Standard Class
2152,Standard Class,Standard Class
2153,First Class,Standard Class
2154,Same Day,Second Class
2155,Standard Class,Standard Class
2156,Standard Class,Standard Class
2157,Second Class,Standard Class
2158,Second Class,Second Class
2159,Standard Class,Standard Class
2160,Standard Class,Standard Class
2161,Standard Class,Standard Class
2162,Second Class,Second Class
2163,Standard Class,Standard Class
2164,Same Day,First Class
2165,Standard Class,Standard Class
2166,Standard Class,Standard Class
2167,Standard Class,Standard Class
2168,Second Class,Second Class
2169,Second Class,Standard Class
2170,Same Day,Same Day
2171,Standard Class,Standard Class
2172,Standard Class,Standard Class
2173,Standard Class,Standard Class
2174,Second Class,Second Class
2175,Standard Class,Standard Class
2176,Standard Class,Standard Class
2177,Second Class,Second Class
2178,Standard Class,Standard Class
2179,Second Class,Second Class
2180,Same Day,Same Day
2181,Standard Class,Standard Class
2182,Second Class,Second Class
2183,Standard Class,Standard Class
2184,Standard Class,Standard Class
2185,Standard Class,Standard Class
2186,First Class,Second Class
2187,Same Day,First Class
2188,Standard Class,Standard Class
2189,Standard Class,Standard Class
2190,First Class,First Class
2191,Standard Class,Standard Class
2192,Standard Class,Standard Class
2193,Second Class,Standard Class
2194,Second Class,Second Class
2195,Standard Class,Standard Class
2196,Standard Class,Standard Class
2197,First Class,First Class
2198,Same Day,First Class
2199,First Class,Second Class
2200,Standard Class,Standard Class
2201,Standard Class,Standard Class
2202,Standard Class,Standard Class
2203,Standard Class,Standard Class
2204,Second Class,Standard Class
2205,Same Day,Same Day
2206,First Class,Second Class
2207,Standard Class,Standard Class
2208,Standard Class,Standard Class
2209,Standard Class,Standard Class
2210,Standard Class,Standard Class
2211,Same Day,First Class
2212,Standard Class,Standard Class
2213,Standard Class,Standard Class
2214,Standard Class,Standard Class
2215,First Class,Same Day
2216,First Class,First Class
2217,Second Class,Second Class
2218,Standard Class,Standard Class
2219,Standard Class,Second Class
2220,Second Class,Second Class
2221,Standard Class,Standard Class
2222,Standard Class,Standard Class
2223,First Class,First Class
2224,Standard Class,Standard Class
2225,Standard Class,Standard Class
2226,Standard Class,Standard Class
2227,Standard Class,Standard Class
2228,Standard Class,Standard Class
2229,Standard Class,Standard Class
2230,Standard Class,Standard Class
2231,Second Class,Second Class
2232,Second Class,Second Class
2233,Same Day,Same Day
2234,Standard Class,Second Class
2235,First Class,Standard Class
2236,Standard Class,Standard Class
2237,Standard Class,Standard Class
2238,Standard Class,Standard Class
2239,Standard Class,Standard Class
2240,Standard Class,Standard Class
2241,Standard Class,Second Class
2242,Second Class,Second Class
2243,Standard Class,Standard Class
2244,Same Day,Standard Class
2245,Second Class,First Class
2246,Standard Class,Standard Class
2247,First Class,First Class
2248,Standard Class,Standard Class
2249,Second Class,Standard Class
2250,Standard Class,Standard Class
2251,Standard Class,Standard Class
2252,Standard Class,Standard Class
2253,Standard Class,Second Class
2254,Second Class,Standard Class
2255,Standard Class,Standard Class
2256,Second Class,Standard Class
2257,Same Day,Same Day
2258,Second Class,Standard Class
2259,Standard Class,Standard Class
2260,Standard Class,Standard Class
2261,Standard Class,Standard Class
2262,Standard Class,Standard Class
2263,Standard Class,Standard Class
2264,Standard Class,First Class
2265,Standard Class,Standard Class
2266,Second Class,Standard Class
2267,Standard Class,Standard Class
2268,Standard Class,Standard Class
2269,Second Class,Standard Class
2270,Standard Class,Standard Class
2271,Standard Class,Standard Class
2272,First Class,Second Class
2273,Standard Class,Standard Class
2274,Second Class,Standard Class
2275,Standard Class,Standard Class
2276,First Class,Standard Class
2277,Standard Class,Standard Class
2278,Second Class,Second Class
2279,Standard Class,Standard Class
2280,Standard Class,Standard Class
2281,Standard Class,Standard Class
2282,First Class,First Class
2283,Same Day,Standard Class
2284,Standard Class,Standard Class
2285,Standard Class,Standard Class
2286,Standard Class,Standard Class
2287,Same Day,Same Day
2288,First Class,First Class
2289,Second Class,Standard Class
2290,First Class,First Class
2291,Second Class,Standard Class
2292,Standard Class,Standard Class
2293,Second Class,Second Class
2294,Standard Class,Standard Class
2295,Standard Class,Standard Class
2296,Second Class,Second Class
2297,Second Class,Second Class
2298,First Class,Standard Class
2299,Standard Class,Standard Class
2300,Standard Class,Standard Class
2301,Standard Class,Standard Class
2302,Standard Class,Standard Class
2303,Standard Class,Standard Class
2304,Standard Class,Standard Class
2305,Standard Class,Standard Class
2306,Standard Class,Standard Class
2307,Standard Class,Standard Class
2308,Standard Class,Standard Class
2309,Standard Class,Standard Class
2310,Second Class,Standard Class
2311,Standard Class,Standard Class
2312,Standard Class,Standard Class
2313,Standard Class,Standard Class
2314,First Class,First Class
2315,Standard Class,Standard Class
2316,Second Class,Standard Class
2317,Standard Class,Second Class
2318,First Class,Standard Class
2319,Standard Class,Standard Class
2320,Standard Class,Standard Class
2321,Same Day,Same Day
2322,Standard Class,Standard Class
2323,Standard Class,Standard Class
2324,Second Class,Second Class
2325,Standard Class,Standard Class
2326,Standard Class,Standard Class
2327,Standard Class,Standard Class
2328,Second Class,Standard Class
2329,Standard Class,Standard Class
2330,Second Class,Standard Class
2331,Standard Class,Standard Class
2332,Standard Class,Standard Class
2333,Standard Class,Standard Class
2334,Second Class,Second Class
2335,Standard Class,Standard Class
2336,First Class,First Class
2337,Second Class,Second Class
2338,Standard Class,Standard Class
2339,First Class,First Class
2340,Standard Class,Standard Class
2341,Second Class,Standard Class
2342,Standard Class,Standard Class
2343,Same Day,Standard Class
2344,Standard Class,Standard Class
2345,Second Class,Standard Class
2346,Standard Class,Standard Class
2347,Second Class,First Class
2348,Standard Class,Standard Class
2349,Standard Class,Standard Class
2350,Same Day,Standard Class
2351,Standard Class,Standard Class
2352,Standard Class,Standard Class
2353,Second Class,Standard Class
2354,Second Class,Second Class
2355,Standard Class,Standard Class
2356,First Class,Standard Class
2357,First Class,Second Class
2358,Standard Class,Standard Class
2359,Standard Class,Standard Class
2360,Standard Class,Standard Class
2361,Standard Class,Standard Class
2362,Standard Class,Standard Class
2363,Standard Class,Standard Class
2364,Standard Class,Standard Class
2365,Standard Class,Standard Class
2366,Second Class,Standard Class
2367,Standard Class,Standard Class
2368,First Class,First Class
2369,Standard Class,Standard Class
2370,Standard Class,Standard Class
2371,Standard Class,Standard Class
2372,Second Class,Standard Class
2373,Standard Class,Standard Class
2374,Standard Class,Standard Class
2375,First Class,First Class
2376,Standard Class,Standard Class
2377,Standard Class,Second Class
2378,Same Day,Same Day
2379,Standard Class,Standard Class
2380,Standard Class,Standard Class
2381,Second Class,Standard Class
2382,Second Class,Standard Class
2383,Second Class,Second Class
2384,Standard Class,Second Class
2385,Standard Class,Standard Class
2386,Standard Class,Standard Class
2387,Standard Class,Standard Class
2388,Standard Class,Standard Class
2389,Second Class,Standard Class
2390,Standard Class,Standard Class
2391,Standard Class,Standard Class
2392,Second Class,Standard Class
2393,Standard Class,Standard Class
2394,Same Day,First Class
2395,Standard Class,Standard Class
2396,Same Day,First Class
2397,Standard Class,Standard Class
2398,Standard Class,Standard Class
2399,Standard Class,Standard Class
2400,Standard Class,Standard Class
2401,Standard Class,Standard Class
2402,Standard Class,Standard Class
2403,Standard Class,Standard Class
2404,Second Class,Second Class
2405,Standard Class,Standard Class
2406,Second Class,Second Class
2407,Standard Class,Standard Class
2408,Standard Class,Standard Class
2409,Standard Class,Standard Class
2410,Standard Class,Second Class
2411,Second Class,Second Class
2412,Standard Class,Standard Class
2413,Second Class,Standard Class
2414,Standard Class,Standard Class
2415,Second Class,Second Class
2416,Second Class,Second Class
2417,First Class,First Class
2418,Second Class,Standard Class
2419,First Class,First Class
2420,Standard Class,First Class
2421,Second Class,Second Class
2422,Standard Class,Standard Class
2423,Second Class,Second Class
2424,First Class,First Class
2425,Standard Class,Standard Class
2426,Standard Class,Standard Class
2427,Second Class,Second Class
2428,Standard Class,Standard Class
2429,Standard Class,Standard Class
2430,Second Class,Standard Class
2431,First Class,Second Class
2432,Standard Class,Standard Class
2433,Standard Class,Standard Class
2434,Standard Class,Standard Class
2435,Standard Class,Standard Class
2436,First Class,Standard Class
2437,Standard Class,Standard Class
2438,First Class,First Class
2439,First Class,First Class
2440,Standard Class,Standard Class
2441,Standard Class,Standard Class
2442,Second Class,Standard Class
2443,Standard Class,Standard Class
2444,Standard Class,Standard Class
2445,Standard Class,Standard Class
2446,Standard Class,Second Class
2447,Standard Class,Standard Class
2448,First Class,First Class
2449,Standard Class,Standard Class
2450,Second Class,Second Class
2451,Standard Class,Standard Class
2452,Standard Class,Standard Class
2453,Standard Class,Standard Class
2454,Standard Class,Second Class
2455,Standard Class,Standard Class
2456,Second Class,Standard Class
2457,Standard Class,Standard Class
2458,Standard Class,Standard Class
2459,Standard Class,Standard Class
2460,First Class,Standard Class
2461,Standard Class,Standard Class
2462,Standard Class,Standard Class
2463,Standard Class,Standard Class
2464,First Class,First Class
2465,Standard Class,Standard Class
2466,Standard Class,Standard Class
2467,Standard Class,Standard Class
2468,Standard Class,Standard Class
2469,Standard Class,Standard Class
2470,Standard Class,Standard Class
2471,Standard Class,Standard Class
2472,Standard Class,Standard Class
2473,Standard Class,Standard Class
2474,Second Class,Standard Class
2475,Standard Class,Standard Class
2476,Standard Class,Standard Class
2477,First Class,First Class
2478,Standard Class,Standard Class
2479,First Class,Second Class
2480,Standard Class,Standard Class
2481,First Class,First Class
2482,Standard Class,Standard Class
2483,Standard Class,Standard Class
2484,Standard Class,Standard Class
2485,First Class,First Class
2486,Standard Class,Standard Class
2487,Second Class,First Class
2488,Standard Class,Standard Class
2489,Same Day,Standard Class
2490,Standard Class,Standard Class
2491,Standard Class,Standard Class
2492,Standard Class,Standard Class
2493,First Class,First Class
2494,Second Class,Second Class
2495,Standard Class,Standard Class
2496,Standard Class,Standard Class
2497,Standard Class,Standard Class
2498,Standard Class,Standard Class
2499,Standard Class,Standard Class
2500,Second Class,Standard Class
2501,Second Class,First Class
2502,Standard Class,Standard Class
2503,Standard Class,Standard Class
2504,First Class,Standard Class
2505,Standard Class,Standard Class
2506,Standard Class,Standard Class
2507,Standard Class,Standard Class
2508,Standard Class,Standard Class
2509,Second Class,First Class
2510,Standard Class,Standard Class
2511,Second Class,Standard Class
2512,Second Class,Second Class
2513,First Class,First Class
2514,First Class,First Class
2515,Standard Class,Standard Class
2516,First Class,First Class
2517,Standard Class,Standard Class
2518,Standard Class,Standard Class
2519,Standard Class,Standard Class
2520,First Class,First Class
2521,Second Class,Second Class
2522,Standard Class,Standard Class
2523,First Class,First Class
2524,Standard Class,Standard Class
2525,Standard Class,Standard Class
2526,Standard Class,Standard Class
2527,Standard Class,Standard Class
2528,Second Class,Standard Class
2529,Second Class,Standard Class
2530,Standard Class,Standard Class
2531,Standard Class,Standard Class
2532,Standard Class,Standard Class
2533,Same Day,First Class
2534,Second Class,Second Class
2535,Standard Class,Standard Class
2536,Standard Class,Standard Class
2537,Second Class,Standard Class
2538,Standard Class,Standard Class
2539,Standard Class,Standard Class
2540,Second Class,Standard Class
2541,Second Class,Second Class
2542,First Class,First Class
2543,Standard Class,Standard Class
2544,First Class,First Class
2545,Standard Class,Standard Class
2546,Standard Class,Standard Class
2547,Second Class,Standard Class
2548,Same Day,Standard Class
2549,Standard Class,Standard Class
2550,Second Class,Second Class
2551,Standard Class,Standard Class
2552,Standard Class,First Class
2553,Standard Class,Standard Class
2554,Standard Class,Standard Class
2555,Second Class,Standard Class
2556,Standard Class,Standard Class
2557,Second Class,Second Class
2558,First Class,Standard Class
2559,Second Class,Standard Class
2560,Standard Class,Standard Class
2561,Standard Class,Standard Class
2562,Standard Class,Standard Class
2563,Standard Class,Standard Class
2564,First Class,Standard Class
2565,Standard Class,Standard Class
2566,Standard Class,Standard Class
2567,Standard Class,Standard Class
2568,Second Class,Second Class
2569,First Class,First Class
2570,Standard Class,Standard Class
2571,Standard Class,Standard Class
2572,First Class,First Class
2573,Standard Class,Standard Class
2574,Standard Class,Standard Class
2575,Second Class,Standard Class
2576,Standard Class,Standard Class
2577,Standard Class,Standard Class
2578,Standard Class,Standard Class
2579,Standard Class,Standard Class
2580,Standard Class,Standard Class
2581,Second Class,Standard Class
2582,Standard Class,Standard Class
2583,Standard Class,Standard Class
2584,Standard Class,Standard Class
2585,Second Class,Standard Class
2586,Same Day,Second Class
2587,Standard Class,Standard Class
2588,Second Class,Second Class
2589,Standard Class,Standard Class
2590,First Class,Second Class
2591,Second Class,First Class
2592,Standard Class,Standard Class
2593,Second Class,Second Class
2594,Second Class,Standard Class
2595,Standard Class,Standard Class
2596,First Class,Standard Class
2597,Standard Class,Standard Class
2598,Standard Class,Standard Class
2599,First Class,Standard Class
2600,Standard Class,Standard Class
2601,Second Class,Second Class
2602,Standard Class,Standard Class
2603,Standard Class,Standard Class
2604,Same Day,Same Day
2605,Standard Class,Standard Class
2606,Second Class,Second Class
2607,Standard Class,Standard Class
2608,Standard Class,Standard Class
2609,Standard Class,Standard Class
2610,Second Class,Standard Class
2611,Standard Class,Standard Class
2612,First Class,First Class
2613,First Class,Standard Class
2614,Standard Class,Standard Class
2615,First Class,First Class
2616,Standard Class,Standard Class
2617,Second Class,Second Class
2618,Standard Class,Standard Class
2619,Standard Class,Standard Class
2620,Standard Class,Standard Class
2621,Second Class,Standard Class
2622,Standard Class,Standard Class
2623,Same Day,Same Day
2624,Standard Class,Standard Class
2625,Standard Class,Standard Class
2626,Same Day,First Class
2627,Second Class,Second Class
2628,Standard Class,Standard Class
2629,Standard Class,Standard Class
2630,Standard Class,Standard Class
2631,Standard Class,Standard Class
2632,Second Class,Standard Class
2633,Standard Class,Standard Class
2634,Second Class,Second Class
2635,Second Class,First Class
2636,Standard Class,Standard Class
2637,Standard Class,Standard Class
2638,Second Class,Standard Class
2639,Standard Class,Standard Class
2640,Second Class,Standard Class
2641,Standard Class,Standard Class
2642,Second Class,Standard Class
2643,Standard Class,Standard Class
2644,Standard Class,Standard Class
2645,First Class,First Class
2646,Standard Class,Standard Class
2647,Standard Class,Standard Class
2648,Standard Class,Standard Class
2649,Standard Class,Standard Class
2650,Standard Class,Standard Class
2651,Standard Class,Standard Class
2652,Same Day,Same Day
2653,Same Day,First Class
2654,First Class,Second Class
2655,Second Class,Second Class
2656,Standard Class,Standard Class
2657,Standard Class,Standard Class
2658,Second Class,Standard Class
2659,Standard Class,Standard Class
2660,Same Day,First Class
2661,Standard Class,Standard Class
2662,Second Class,Second Class
2663,Standard Class,Standard Class
2664,Standard Class,Standard Class
2665,First Class,First Class
2666,First Class,Standard Class
2667,Same Day,Same Day
2668,First Class,Standard Class
2669,Standard Class,Standard Class
2670,Standard Class,Standard Class
2671,First Class,Second Class
2672,First Class,First Class
2673,Standard Class,Standard Class
2674,Standard Class,Standard Class
2675,First Class,Standard Class
2676,Standard Class,Standard Class
2677,First Class,Standard Class
2678,Standard Class,Standard Class
2679,Standard Class,Standard Class
2680,Standard Class,Standard Class
2681,First Class,Second Class
2682,Standard Class,Standard Class
2683,First Class,Same Day
2684,Second Class,Standard Class
2685,Standard Class,Standard Class
2686,Standard Class,Standard Class
2687,Standard Class,Standard Class
2688,Standard Class,Standard Class
2689,Standard Class,Standard Class
2690,Second Class,Second Class
2691,Second Class,Second Class
2692,Second Class,Standard Class
2693,Standard Class,Standard Class
2694,First Class,Standard Class
2695,Second Class,Second Class
2696,Standard Class,Standard Class
2697,First Class,First Class
2698,Standard Class,Standard Class
2699,First Class,First Class
2700,First Class,First Class
2701,Second Class,Second Class
2702,Second Class,Second Class
2703,Standard Class,Standard Class
2704,Standard Class,Standard Class
2705,First Class,First Class
2706,Second Class,Standard Class
2707,Standard Class,Standard Class
2708,Standard Class,Standard Class
2709,Standard Class,Standard Class
2710,Standard Class,Standard Class
2711,Standard Class,Standard Class
2712,Second Class,Second Class
2713,Standard Class,Standard Class
2714,Standard Class,Standard Class
2715,Same Day,Same Day
2716,First Class,First Class
2717,First Class,First Class
2718,Standard Class,Standard Class
2719,Same Day,Same Day
2720,Standard Class,Second Class
2721,Second Class,Second Class
2722,First Class,Standard Class
2723,Second Class,Standard Class
2724,Standard Class,Standard Class
2725,Standard Class,Standard Class
2726,Standard Class,Standard Class
2727,Standard Class,Standard Class
2728,First Class,Standard Class
2729,Standard Class,Standard Class
2730,Second Class,Standard Class
2731,Second Class,Second Class
2732,First Class,Second Class
2733,Standard Class,Standard Class
2734,Standard Class,Standard Class
2735,Second Class,Second Class
2736,Standard Class,Standard Class
2737,Standard Class,Standard Class
2738,Standard Class,Standard Class
